TERM	SYMBOL	CATEGORY	LIST
COREAD	WNK2		Compendium
DLBCL	AR		Compendium
DLBCL	ARID1A		Compendium
DLBCL	ARID1B		Compendium
DLBCL	B2M		Compendium
DLBCL	BCL10		Compendium
DLBCL	BCL11B		Compendium
DLBCL	BCL2		Compendium
DLBCL	BCL6		Compendium
DLBCL	BCL7A		Compendium
DLBCL	BCR		Compendium
DLBCL	BIRC6		Compendium
DLBCL	BRAF		Compendium
DLBCL	BTG1		Compendium
DLBCL	CARD11		Compendium
DLBCL	CCND3		Compendium
DLBCL	CCR7		Compendium
DLBCL	CD58		Compendium
DLBCL	CD79B		Compendium
DLBCL	CDH1		Compendium
DLBCL	CDKN1B		Compendium
DLBCL	CIITA		Compendium
DLBCL	CREBBP		Compendium
DLBCL	CXCR4		Compendium
DLBCL	DAZAP1		Compendium
DLBCL	DDX3X		Compendium
DLBCL	DGCR8		Compendium
DLBCL	DOT1L		Compendium
DLBCL	EBF1		Compendium
DLBCL	EP300		Compendium
DLBCL	ETV6		Compendium
DLBCL	EZH2		Compendium
DLBCL	FAM186A		Compendium
DLBCL	FAS		Compendium
DLBCL	FAT3		Compendium
DLBCL	FAT4		Compendium
DLBCL	FHIT		Compendium
DLBCL	GNA13		Compendium
DLBCL	HLA-A		Compendium
DLBCL	HLA-B		Compendium
DLBCL	ID3		Compendium
DLBCL	INO80		Compendium
DLBCL	IRF4		Compendium
DLBCL	KDR		Compendium
DLBCL	KMT2D		Compendium
DLBCL	KRAS		Compendium
DLBCL	LRIG3		Compendium
DLBCL	MALT1		Compendium
DLBCL	MAP2K1		Compendium
DLBCL	MECOM		Compendium
DLBCL	MEF2B		Compendium
DLBCL	MYD88		Compendium
DLBCL	NBEA		Compendium
DLBCL	NCOR1		Compendium
DLBCL	NFKB2		Compendium
DLBCL	NFKBIA		Compendium
DLBCL	NFKBIE		Compendium
DLBCL	NOTCH1		Compendium
DLBCL	NOTCH2		Compendium
DLBCL	P2RY8		Compendium
DLBCL	PABPC1		Compendium
DLBCL	PIM1		Compendium
DLBCL	POU2F2		Compendium
DLBCL	PRDM1		Compendium
DLBCL	PREX2		Compendium
DLBCL	PRKCB		Compendium
DLBCL	PRKCD		Compendium
DLBCL	PTPN6		Compendium
DLBCL	PTPRD		Compendium
DLBCL	RASA2		Compendium
